I0,I1,I2,I3
0.800000,0.796558,-0.007026,129342.992188
0.800000,0.784199,-0.009465,129343.328125
0.800000,0.823832,0.015245,129343.664063
0.800000,0.797107,-0.004911,129344.000000
0.800000,0.801275,-0.007684,129344.335938
0.800000,0.811703,0.009926,129344.671875
0.800000,0.774132,-0.018141,129345.007813
0.800000,0.807679,0.001941,129345.343750
0.800000,0.805978,0.014231,129345.679688
0.800000,0.799256,-0.000390,129346.015625
0.800000,0.801592,-0.002688,129346.351563
0.800000,0.791425,0.003332,129346.687500
0.800000,0.793213,-0.001081,129347.023438
0.800000,0.801175,0.007012,129347.359375
0.800000,0.809554,0.005405,129347.695313
0.800000,0.786174,-0.020698,129348.031250
0.800000,0.805760,-0.005461,129348.367188
0.800000,0.804059,0.006829,129348.703125
0.800000,0.804794,0.002124,129349.039063
0.800000,0.809367,0.012224,129349.375000
0.800000,0.788179,-0.005419,129349.710938
0.800000,0.803928,-0.004987,129350.046875
0.800000,0.775689,-0.019673,129350.382813
0.800000,0.817241,0.012440,129350.718750
0.800000,0.776829,-0.011504,129351.054688
0.800000,0.801592,-0.002688,129351.390625
0.800000,0.816923,0.007444,129351.726563
0.800000,0.797742,0.005081,129352.062500
0.800000,0.816649,0.006387,129352.398438
0.800000,0.792117,-0.005311,129352.734375
0.800000,0.793818,-0.017601,129353.070313
0.800000,0.797281,0.010843,129353.406250
0.800000,0.803424,-0.003163,129353.742188
0.800000,0.795506,-0.007317,129354.078125
0.800000,0.807030,0.014522,129354.414063
0.800000,0.799212,-0.004329,129354.750000
0.800000,0.799761,-0.002214,129355.085938
0.800000,0.799169,-0.008267,129355.421875
0.800000,0.805890,0.006354,129355.757813
0.800000,0.801231,-0.011623,129356.093750
0.800000,0.810606,0.005696,129356.429688
0.800000,0.787992,0.001401,129356.765625
0.800000,0.805573,0.001358,129357.101563
0.800000,0.797698,0.001142,129357.437500
0.800000,0.804433,-0.006810,129357.773438
0.800000,0.805573,0.001358,129358.109375
0.800000,0.785582,-0.026751,129358.445313
0.800000,0.813304,0.012332,129358.781250
0.800000,0.776281,-0.013619,129359.117188
0.800000,0.803511,0.004714,129359.453125
0.800000,0.806900,0.002707,129359.789063
0.800000,0.812482,0.009160,129360.125000
0.800000,0.796415,0.003732,129360.460938
0.800000,0.803741,0.001833,129360.796875
0.800000,0.799487,-0.003271,129361.132813
0.800000,0.796459,0.007670,129361.468750
0.800000,0.807591,-0.005936,129361.804688
0.800000,0.801766,0.013065,129362.140625
0.800000,0.794814,0.001326,129362.476563
0.800000,0.795910,0.005555,129362.812500
0.800000,0.792217,-0.020007,129363.148438
0.800000,0.796963,0.005847,129363.484375
0.800000,0.802227,0.007303,129363.820313
0.800000,0.809192,-0.003530,129364.156250
0.800000,0.782598,-0.011871,129364.492188
0.800000,0.806308,-0.003346,129364.828125
0.800000,0.793357,-0.011839,129365.164063
0.800000,0.800252,0.018536,129365.500000
0.800000,0.786261,-0.012821,129365.835938
0.800000,0.783289,-0.020514,129366.171875
0.800000,0.796876,-0.002030,129366.507813
0.800000,0.797107,-0.004911,129366.843750
0.800000,0.806439,0.008469,129367.179688
0.800000,0.786217,-0.016759,129367.515625
0.800000,0.784934,-0.014170,129367.851563
0.800000,0.805616,0.005297,129368.187500
0.800000,0.793718,-0.002904,129368.523438
0.800000,0.809597,0.009343,129368.859375
0.800000,0.806582,-0.002289,129369.195313
0.800000,0.823558,0.014188,129369.531250
0.800000,0.813347,0.016270,129369.867188
0.800000,0.808314,0.011933,129370.203125
0.800000,0.794727,-0.006551,129370.539063
0.800000,0.795549,-0.003379,129370.875000
0.800000,0.794135,-0.012605,129371.210938
0.800000,0.797698,0.001142,129371.546875
0.800000,0.802227,0.007303,129371.882813
0.800000,0.794135,-0.012605,129372.218750
0.800000,0.812164,0.004164,129372.554688
0.800000,0.799948,-0.009033,129372.890625
0.800000,0.782785,-0.018691,129373.226563
0.800000,0.806439,0.008469,129373.562500
0.800000,0.806987,0.010584,129373.898438
0.800000,0.793269,-0.019716,129374.234375
0.800000,0.794583,0.004207,129374.570313
0.800000,0.816419,0.009268,129374.906250
0.800000,0.808040,0.010875,129375.242188
0.800000,0.816462,0.013206,129375.578125
0.800000,0.800309,-0.000099,129375.914063
0.800000,0.783607,-0.015518,129376.250000
0.800000,0.788641,-0.011181,129376.585938
0.800000,0.809136,0.015105,129376.921875
0.800000,0.801997,0.010184,129377.257813
0.800000,0.800539,-0.002980,129377.593750
0.800000,0.820443,0.017252,129377.929688
